ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES
10107,30,95.7,2,2871
10121,34,81.35,5,2765.9
10134,41,94.74,2,3884.34
10145,45,83.26,6,3746.7
10159,49,100,14,5205.27
10168,36,96.66,1,3479.76
10180,29,86.13,9,2497.77
10188,48,100,1,5512.32
10201,22,98.57,2,2168.54
10211,41,100,14,4708.44
10223,37,100,1,3965.66
10237,23,100,7,2333.12
10251,28,100,2,3188.64
10263,34,100,2,3676.76
10275,45,92.83,1,4177.35
10285,36,100,6,4099.68
10299,23,100,9,2597.39
10309,41,100,5,4394.38
10318,46,94.74,1,4358.04
10329,42,100,1,4396.14
10341,41,100,9,7737.93
10361,20,72.55,13,1451
10375,21,34.91,12,733.11
10388,42,76.36,4,3207.12
10403,24,100,7,2434.56
10417,66,100,2,7516.08
10103,26,100,11,5404.62
10112,29,100,1,7209.11
10126,38,100,11,7329.06
